EnglishTransCityName,EnglishCityName,CountOfTweets,prev,PctChange,Date,Hour
Pavlograd,--------------------,1,"",1.0,2022-02-24,8
Pavlograd,--------------------,6,1,500.0,2022-03-12,0
Pavlograd,--------------------,4,3,33.333333333333336,2022-03-12,2
Pavlograd,--------------------,2,1,100.0,2022-03-12,12
Pavlograd,--------------------,2,1,100.0,2022-03-17,0
Pavlograd,--------------------,3,2,50.0,2022-03-17,4
Pavlograd,--------------------,3,1,200.0,2022-03-22,17
Pavlograd,--------------------,16,3,433.3333333333333,2022-03-22,18
Pavlograd,--------------------,3,2,50.0,2022-03-22,21
Pavlograd,--------------------,5,3,66.66666666666667,2022-03-22,22
Pavlograd,--------------------,3,2,50.0,2022-03-23,0
Pavlograd,--------------------,3,1,200.0,2022-03-23,18
Pavlograd,--------------------,6,3,100.0,2022-03-23,19
Pavlograd,--------------------,6,1,500.0,2022-03-24,21
Pavlograd,--------------------,7,1,600.0,2022-04-02,16
Pavlograd,--------------------,8,1,700.0,2022-04-02,20
Pavlograd,--------------------,3,1,200.0,2022-04-03,3
Pavlograd,--------------------,2,1,100.0,2022-04-03,22
Pavlograd,--------------------,2,1,100.0,2022-04-06,5
Pavlograd,--------------------,8,2,300.0,2022-04-06,6
Pavlograd,--------------------,2,1,100.0,2022-04-07,6
Pavlograd,--------------------,3,1,200.0,2022-04-10,7
Pavlograd,--------------------,3,1,200.0,2022-04-17,11
Pavlograd,--------------------,2,1,100.0,2022-04-17,14
Pavlograd,--------------------,7,1,600.0,2022-04-18,6
Pavlograd,--------------------,4,1,300.0,2022-04-19,2
Pavlograd,--------------------,5,4,25.0,2022-04-19,3
Pavlograd,--------------------,2,1,100.0,2022-04-19,14
Pavlograd,--------------------,3,2,50.0,2022-04-19,17
Podilsk,Podilsk,2,"",1.0,2022-02-24,9
Podilsk,Podilsk,5,1,400.0,2022-02-25,11
Podilsk,Podilsk,3,1,200.0,2022-03-07,15
Podilsk,Podilsk,4,1,300.0,2022-03-12,7
Podilsk,Podilsk,3,1,200.0,2022-03-15,5
Podilsk,Podilsk,12,3,300.0,2022-03-15,6
Podilsk,Podilsk,27,7,285.7142857142857,2022-03-15,8
Podilsk,Podilsk,2,1,100.0,2022-03-16,0
Podilsk,Podilsk,5,1,400.0,2022-03-16,17
Podilsk,Podilsk,7,5,40.0,2022-03-16,18
Podilsk,Podilsk,2,1,100.0,2022-03-18,6
Podilsk,Podilsk,23,2,1050.0,2022-03-18,7
Podilsk,Podilsk,42,12,250.0,2022-03-18,9
Podilsk,Podilsk,98,42,133.33333333333334,2022-03-18,10
Podilsk,Podilsk,8,4,100.0,2022-03-18,14
Podilsk,Podilsk,12,2,500.0,2022-03-18,17
Podilsk,Podilsk,14,12,16.666666666666668,2022-03-18,18
Podilsk,Podilsk,6,3,100.0,2022-03-18,20
Podilsk,Podilsk,4,3,33.333333333333336,2022-03-18,22
Podilsk,Podilsk,5,3,66.66666666666667,2022-03-19,0
Podilsk,Podilsk,3,2,50.0,2022-03-19,2
Podilsk,Podilsk,5,3,66.66666666666667,2022-03-19,4
Podilsk,Podilsk,3,2,50.0,2022-03-19,10
Podilsk,Podilsk,13,1,1200.0,2022-03-20,21
Podilsk,Podilsk,8,7,14.285714285714286,2022-03-20,23
Podilsk,Podilsk,31,8,287.5,2022-03-21,0
Podilsk,Podilsk,5,4,25.0,2022-03-21,2
Podilsk,Podilsk,10,5,100.0,2022-03-21,3
Podilsk,Podilsk,54,10,440.0,2022-03-21,4
Podilsk,Podilsk,45,12,275.0,2022-03-21,7
Podilsk,Podilsk,77,34,126.47058823529412,2022-03-21,9
Podilsk,Podilsk,4,3,33.333333333333336,2022-03-21,19
Podilsk,Podilsk,2,1,100.0,2022-03-21,21
Podilsk,Podilsk,10,2,400.0,2022-03-21,22
Podilsk,Podilsk,3,2,50.0,2022-03-22,1
Podilsk,Podilsk,6,1,500.0,2022-03-22,3
