,EnglishCityName,EnglishTransCityName,city,lat,lng
1,Alchevsk,Alchevsk,Alchevsk,48.4672,38.7983
2,Alushta,Alushta,Alushta,44.6672,34.3978
3,Amvrosiivka,Amvrosiyivka,Amvrosiivka,47.7958,38.4801
4,Antratsyt,Antratsit,Antratsyt,48.1167,39.0833
5,Armyansk,Armiansk ,,46.653,33.4126
6,Avdiivka,Avdiyivka,Avdiivka,48.1333,37.75
7,Bakhchysarai,Bakhchisarai,Bakhchysarai,44.7528,33.8608
8,Bakhmach,Bakhmach,,51.1059,32.4947
9,Bakhmut,Bakhmut,Bakhmut,48.6044,38.0067
10,Balakliia,Balakliia,Balakliia,49.4564,36.8389
11,Balta,Balta,Balta,47.9361,29.6225
12,Berdiansk,Berdiansk,Berdiansk,46.7598,36.7845
13,Berdychiv,Berdichiv,Berdychiv,49.8919,28.6
14,Beregove,Beregove,Beregove,48.2025,22.6375
15,Bila Tserkva,Bila Tserkva,Bila Tserkva,49.7956,30.1167
16,Bila Tserkva,Bila Tserkva,Bila Tserkva,47.95,23.9333
17,Bilhorod-Dnistrovskyi,Bilgorod-Dnistrovskii,Bilhorod-Dnistrovskyi,46.1833,30.3333
18,Boyarka,Boiarka,Boyarka,50.3292,30.2886
19,Borislav,Borislav,,49.1721,23.2508
20,Boryspil,Borispil,Boryspil,50.35,30.95
21,Brianka,Brianka,Brianka,48.5133,38.6431
22,Brodi,Brodi,Brodi,50.0781,25.1542
23,Brovari,Brovari,,50.3,30.46
24,Bucha,Bucha,Bucha,50.5464,30.235
25,Cherkasy,Cherkasi,Cherkasy,49.4444,32.0597
26,Chernihiv,Chernigiv,Chernihiv,51.4939,31.2947
27,Chernivtsi,Chernivtsi,Chernivtsi,48.2908,25.9344
28,Chernivtsi,Chernivtsi,Chernivtsi,48.5425,28.1122
29,Chervonohrad,Chervonograd,Chervonohrad,50.3842,24.2265
30,Khartsyzk,Khartsizk,Khartsyzk,48.0333,38.15
31,Kharkiv,Kharkiv,Kharkiv,50,36.2292
32,Kherson,Kherson,Kherson,46.6333,32.6
33,Khmelnytskyi,Khmelnitskii,Khmelnytskyi,49.42,27
34,Khmilnyk,Khmilnik,Khmilnyk,49.55,27.9667
35,Khrestivka,Khrestivka,Khrestivka,48.15,38.3667
36,Khrustalni,Khrustalnii,Khrustalni,48.1214,38.9453
37,Khust,Khust,Khust,48.1814,23.2978
38,Chornomorsk,Chornomorsk,Chornomorsk,46.3017,30.6569
39,Chortkiv,Chortkiv,Chortkiv,49.0167,25.8
40,Chuhuiv,Chuguyiv,Chuhuiv,49.8353,36.6756
41,Khystyakove,Chistiakove,,48.119,38.3735
42,Debaltseve,Debaltseve,,48.2,38.24
43,Derhachi,Dergachi,,50.07,36.07
44,Dnepropetrovsk,Dnipro,,48.2803,35.0224
45,Dniprorudne,Dniprorudne,Dniprorudne,47.3855,34.9879
46,Dobropillia,Dobropillia,,48.2808,37.0458
47,Dokuchaievsk,Dokuchaievsk,,47.4507,37.4042
48,Dolina,Dolina,,48.5814,24.04
49,Donetsk,Donetsk,Donetsk,48.0089,37.8042
50,Dovzhansk,Dovzhansk,Dovzhansk,48.0846,39.6516
51,Drohobych,Drogobich,Drohobych,49.35,23.5
52,Druzhkivka,Druzhkivka,Druzhkivka,48.6203,37.5278
53,Dubno,Dubno,Dubno,50.3931,25.735
